INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;01.01.2019 0:00:00;1;530000;26894
1;01.01.2019 0:00:00;1;530000;26093
2;01.01.2019 0:00:00;1;530000;25624
3;01.01.2019 0:00:00;1;530000;25316
4;01.01.2019 0:00:00;1;530000;25414
5;01.01.2019 0:00:00;1;530000;25453
6;01.01.2019 0:00:00;1;530000;25534
7;01.01.2019 0:00:00;1;530000;25591
8;01.01.2019 0:00:00;1;530000;25868
9;01.01.2019 0:00:00;1;530000;26375
10;01.01.2019 0:00:00;1;530000;27028
11;01.01.2019 0:00:00;1;530000;27448
12;01.01.2019 0:00:00;1;530000;27429
13;01.01.2019 0:00:00;1;530000;27520
14;01.01.2019 0:00:00;1;530000;28278
15;01.01.2019 0:00:00;1;530000;29218
16;01.01.2019 0:00:00;1;530000;29704
17;01.01.2019 0:00:00;1;530000;29570
18;01.01.2019 0:00:00;1;530000;29022
19;01.01.2019 0:00:00;1;530000;29118
20;01.01.2019 0:00:00;1;530000;28639
21;01.01.2019 0:00:00;1;530000;27520
22;01.01.2019 0:00:00;1;530000;26745
23;01.01.2019 0:00:00;1;530000;26014
0;02.01.2019 0:00:00;1;530000;25019
1;02.01.2019 0:00:00;1;530000;24907
2;02.01.2019 0:00:00;1;530000;24593
3;02.01.2019 0:00:00;1;530000;24775
4;02.01.2019 0:00:00;1;530000;25251
5;02.01.2019 0:00:00;1;530000;25720
6;02.01.2019 0:00:00;1;530000;26630
7;02.01.2019 0:00:00;1;530000;27155
8;02.01.2019 0:00:00;1;530000;28053
9;02.01.2019 0:00:00;1;530000;28570
10;02.01.2019 0:00:00;1;530000;28926
11;02.01.2019 0:00:00;1;530000;28958
12;02.01.2019 0:00:00;1;530000;28704
13;02.01.2019 0:00:00;1;530000;28930
14;02.01.2019 0:00:00;1;530000;29253
15;02.01.2019 0:00:00;1;530000;30277
16;02.01.2019 0:00:00;1;530000;30789
17;02.01.2019 0:00:00;1;530000;30543
18;02.01.2019 0:00:00;1;530000;29865
19;02.01.2019 0:00:00;1;530000;29742
20;02.01.2019 0:00:00;1;530000;29224
21;02.01.2019 0:00:00;1;530000;27917
22;02.01.2019 0:00:00;1;530000;27151
23;02.01.2019 0:00:00;1;530000;26176
0;03.01.2019 0:00:00;1;530000;25347
1;03.01.2019 0:00:00;1;530000;24743
2;03.01.2019 0:00:00;1;530000;24756
3;03.01.2019 0:00:00;1;530000;24933
4;03.01.2019 0:00:00;1;530000;25346
5;03.01.2019 0:00:00;1;530000;25916
6;03.01.2019 0:00:00;1;530000;26961
7;03.01.2019 0:00:00;1;530000;27892
8;03.01.2019 0:00:00;1;530000;28860
9;03.01.2019 0:00:00;1;530000;29338
10;03.01.2019 0:00:00;1;530000;29622
11;03.01.2019 0:00:00;1;530000;29687
12;03.01.2019 0:00:00;1;530000;29493
13;03.01.2019 0:00:00;1;530000;29612
14;03.01.2019 0:00:00;1;530000;29939
15;03.01.2019 0:00:00;1;530000;31161
16;03.01.2019 0:00:00;1;530000;31264
17;03.01.2019 0:00:00;1;530000;31126
18;03.01.2019 0:00:00;1;530000;30592
19;03.01.2019 0:00:00;1;530000;30400
20;03.01.2019 0:00:00;1;530000;29759
21;03.01.2019 0:00:00;1;530000;28599
22;03.01.2019 0:00:00;1;530000;27516
23;03.01.2019 0:00:00;1;530000;26527
0;04.01.2019 0:00:00;1;530000;25497
1;04.01.2019 0:00:00;1;530000;25116
2;04.01.2019 0:00:00;1;530000;25032
3;04.01.2019 0:00:00;1;530000;25025
4;04.01.2019 0:00:00;1;530000;25712
5;04.01.2019 0:00:00;1;530000;26447
6;04.01.2019 0:00:00;1;530000;27474
7;04.01.2019 0:00:00;1;530000;28412
8;04.01.2019 0:00:00;1;530000;29650
9;04.01.2019 0:00:00;1;530000;29884
10;04.01.2019 0:00:00;1;530000;30068
11;04.01.2019 0:00:00;1;530000;29998
12;04.01.2019 0:00:00;1;530000;29880
13;04.01.2019 0:00:00;1;530000;30047
14;04.01.2019 0:00:00;1;530000;30355
15;04.01.2019 0:00:00;1;530000;31576
16;04.01.2019 0:00:00;1;530000;31778
17;04.01.2019 0:00:00;1;530000;31356
18;04.01.2019 0:00:00;1;530000;30847
19;04.01.2019 0:00:00;1;530000;30589
20;04.01.2019 0:00:00;1;530000;30024
21;04.01.2019 0:00:00;1;530000;28760
22;04.01.2019 0:00:00;1;530000;27637
23;04.01.2019 0:00:00;1;530000;26708
