INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;01.01.2018 0:00:00;1;530000;24644
1;01.01.2018 0:00:00;1;530000;23956
2;01.01.2018 0:00:00;1;530000;23330
3;01.01.2018 0:00:00;1;530000;23094
4;01.01.2018 0:00:00;1;530000;23026
5;01.01.2018 0:00:00;1;530000;23165
6;01.01.2018 0:00:00;1;530000;23320
7;01.01.2018 0:00:00;1;530000;23067
8;01.01.2018 0:00:00;1;530000;23626
9;01.01.2018 0:00:00;1;530000;24071
10;01.01.2018 0:00:00;1;530000;24623
11;01.01.2018 0:00:00;1;530000;25171
12;01.01.2018 0:00:00;1;530000;25265
13;01.01.2018 0:00:00;1;530000;25432
14;01.01.2018 0:00:00;1;530000;26057
15;01.01.2018 0:00:00;1;530000;27304
16;01.01.2018 0:00:00;1;530000;27701
17;01.01.2018 0:00:00;1;530000;27718
18;01.01.2018 0:00:00;1;530000;27661
19;01.01.2018 0:00:00;1;530000;27273
20;01.01.2018 0:00:00;1;530000;26928
21;01.01.2018 0:00:00;1;530000;25901
22;01.01.2018 0:00:00;1;530000;24834
23;01.01.2018 0:00:00;1;530000;24024
0;02.01.2018 0:00:00;1;530000;23109
1;02.01.2018 0:00:00;1;530000;22698
2;02.01.2018 0:00:00;1;530000;22402
3;02.01.2018 0:00:00;1;530000;22627
4;02.01.2018 0:00:00;1;530000;23023
5;02.01.2018 0:00:00;1;530000;23431
6;02.01.2018 0:00:00;1;530000;24264
7;02.01.2018 0:00:00;1;530000;24720
8;02.01.2018 0:00:00;1;530000;25761
9;02.01.2018 0:00:00;1;530000;26575
10;02.01.2018 0:00:00;1;530000;26979
11;02.01.2018 0:00:00;1;530000;27218
12;02.01.2018 0:00:00;1;530000;26979
13;02.01.2018 0:00:00;1;530000;27156
14;02.01.2018 0:00:00;1;530000;27404
15;02.01.2018 0:00:00;1;530000;28607
16;02.01.2018 0:00:00;1;530000;28629
17;02.01.2018 0:00:00;1;530000;28573
18;02.01.2018 0:00:00;1;530000;28372
19;02.01.2018 0:00:00;1;530000;27986
20;02.01.2018 0:00:00;1;530000;27519
21;02.01.2018 0:00:00;1;530000;26289
22;02.01.2018 0:00:00;1;530000;25282
23;02.01.2018 0:00:00;1;530000;24235
0;03.01.2018 0:00:00;1;530000;23416
1;03.01.2018 0:00:00;1;530000;22883
2;03.01.2018 0:00:00;1;530000;22669
3;03.01.2018 0:00:00;1;530000;22920
4;03.01.2018 0:00:00;1;530000;23395
5;03.01.2018 0:00:00;1;530000;24247
6;03.01.2018 0:00:00;1;530000;24954
7;03.01.2018 0:00:00;1;530000;25776
8;03.01.2018 0:00:00;1;530000;26865
9;03.01.2018 0:00:00;1;530000;27655
10;03.01.2018 0:00:00;1;530000;27840
11;03.01.2018 0:00:00;1;530000;28094
12;03.01.2018 0:00:00;1;530000;27916
13;03.01.2018 0:00:00;1;530000;27855
14;03.01.2018 0:00:00;1;530000;28377
15;03.01.2018 0:00:00;1;530000;29300
16;03.01.2018 0:00:00;1;530000;29609
17;03.01.2018 0:00:00;1;530000;29357
18;03.01.2018 0:00:00;1;530000;29128
19;03.01.2018 0:00:00;1;530000;28518
20;03.01.2018 0:00:00;1;530000;27840
21;03.01.2018 0:00:00;1;530000;26631
22;03.01.2018 0:00:00;1;530000;25163
23;03.01.2018 0:00:00;1;530000;24548
0;04.01.2018 0:00:00;1;530000;23536
1;04.01.2018 0:00:00;1;530000;23130
2;04.01.2018 0:00:00;1;530000;23140
3;04.01.2018 0:00:00;1;530000;22957
