INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
23;05.01.2017 0:00:00;1;530000;28113
0;06.01.2017 0:00:00;1;530000;26882
1;06.01.2017 0:00:00;1;530000;26239
2;06.01.2017 0:00:00;1;530000;25765
3;06.01.2017 0:00:00;1;530000;25547
4;06.01.2017 0:00:00;1;530000;25682
5;06.01.2017 0:00:00;1;530000;26273
6;06.01.2017 0:00:00;1;530000;27098
7;06.01.2017 0:00:00;1;530000;27950
8;06.01.2017 0:00:00;1;530000;29356
9;06.01.2017 0:00:00;1;530000;30573
10;06.01.2017 0:00:00;1;530000;31231
11;06.01.2017 0:00:00;1;530000;31515
12;06.01.2017 0:00:00;1;530000;31815
13;06.01.2017 0:00:00;1;530000;31893
14;06.01.2017 0:00:00;1;530000;31763
15;06.01.2017 0:00:00;1;530000;32256
16;06.01.2017 0:00:00;1;530000;33769
17;06.01.2017 0:00:00;1;530000;34085
18;06.01.2017 0:00:00;1;530000;33883
19;06.01.2017 0:00:00;1;530000;33305
20;06.01.2017 0:00:00;1;530000;32800
21;06.01.2017 0:00:00;1;530000;32060
22;06.01.2017 0:00:00;1;530000;30800
23;06.01.2017 0:00:00;1;530000;29168
0;07.01.2017 0:00:00;1;530000;28211
1;07.01.2017 0:00:00;1;530000;27410
2;07.01.2017 0:00:00;1;530000;26739
3;07.01.2017 0:00:00;1;530000;26719
4;07.01.2017 0:00:00;1;530000;26792
5;07.01.2017 0:00:00;1;530000;27084
6;07.01.2017 0:00:00;1;530000;27626
7;07.01.2017 0:00:00;1;530000;28199
8;07.01.2017 0:00:00;1;530000;29098
9;07.01.2017 0:00:00;1;530000;30392
10;07.01.2017 0:00:00;1;530000;30910
11;07.01.2017 0:00:00;1;530000;31289
12;07.01.2017 0:00:00;1;530000;31332
13;07.01.2017 0:00:00;1;530000;31383
14;07.01.2017 0:00:00;1;530000;31362
15;07.01.2017 0:00:00;1;530000;31693
16;07.01.2017 0:00:00;1;530000;33531
17;07.01.2017 0:00:00;1;530000;33741
18;07.01.2017 0:00:00;1;530000;33871
19;07.01.2017 0:00:00;1;530000;33274
20;07.01.2017 0:00:00;1;530000;33113
21;07.01.2017 0:00:00;1;530000;32201
22;07.01.2017 0:00:00;1;530000;31001
23;07.01.2017 0:00:00;1;530000;29884
0;08.01.2017 0:00:00;1;530000;28618
1;08.01.2017 0:00:00;1;530000;27690
2;08.01.2017 0:00:00;1;530000;27276
3;08.01.2017 0:00:00;1;530000;27073
4;08.01.2017 0:00:00;1;530000;27149
5;08.01.2017 0:00:00;1;530000;27500
6;08.01.2017 0:00:00;1;530000;28274
7;08.01.2017 0:00:00;1;530000;29057
8;08.01.2017 0:00:00;1;530000;30042
9;08.01.2017 0:00:00;1;530000;31279
10;08.01.2017 0:00:00;1;530000;32400
11;08.01.2017 0:00:00;1;530000;32873
12;08.01.2017 0:00:00;1;530000;32557
13;08.01.2017 0:00:00;1;530000;32879
14;08.01.2017 0:00:00;1;530000;32899
15;08.01.2017 0:00:00;1;530000;33295
16;08.01.2017 0:00:00;1;530000;34913
17;08.01.2017 0:00:00;1;530000;35392
18;08.01.2017 0:00:00;1;530000;35409
19;08.01.2017 0:00:00;1;530000;34786
20;08.01.2017 0:00:00;1;530000;34435
21;08.01.2017 0:00:00;1;530000;33398
22;08.01.2017 0:00:00;1;530000;31780
23;08.01.2017 0:00:00;1;530000;30235
0;09.01.2017 0:00:00;1;530000;28985
1;09.01.2017 0:00:00;1;530000;28119
2;09.01.2017 0:00:00;1;530000;27899
3;09.01.2017 0:00:00;1;530000;27516
4;09.01.2017 0:00:00;1;530000;28092
5;09.01.2017 0:00:00;1;530000;29271
6;09.01.2017 0:00:00;1;530000;31508
7;09.01.2017 0:00:00;1;530000;33842
8;09.01.2017 0:00:00;1;530000;35889
9;09.01.2017 0:00:00;1;530000;36985
10;09.01.2017 0:00:00;1;530000;37156
11;09.01.2017 0:00:00;1;530000;36868
12;09.01.2017 0:00:00;1;530000;36892
13;09.01.2017 0:00:00;1;530000;36660
14;09.01.2017 0:00:00;1;530000;36566
15;09.01.2017 0:00:00;1;530000;36623
16;09.01.2017 0:00:00;1;530000;37686
17;09.01.2017 0:00:00;1;530000;37917
18;09.01.2017 0:00:00;1;530000;37362
19;09.01.2017 0:00:00;1;530000;36479
20;09.01.2017 0:00:00;1;530000;36041
21;09.01.2017 0:00:00;1;530000;34716
22;09.01.2017 0:00:00;1;530000;32523
23;09.01.2017 0:00:00;1;530000;30553
0;10.01.2017 0:00:00;1;530000;29269
1;10.01.2017 0:00:00;1;530000;28548
2;10.01.2017 0:00:00;1;530000;28086
3;10.01.2017 0:00:00;1;530000;28022
4;10.01.2017 0:00:00;1;530000;28319
5;10.01.2017 0:00:00;1;530000;29363
6;10.01.2017 0:00:00;1;530000;31627
7;10.01.2017 0:00:00;1;530000;33655
8;10.01.2017 0:00:00;1;530000;35517
9;10.01.2017 0:00:00;1;530000;36138
10;10.01.2017 0:00:00;1;530000;36446
11;10.01.2017 0:00:00;1;530000;35912
12;10.01.2017 0:00:00;1;530000;35785
13;10.01.2017 0:00:00;1;530000;35883
14;10.01.2017 0:00:00;1;530000;35668
15;10.01.2017 0:00:00;1;530000;35750
